Family_name	A	C	G	U	purines	pyrimidines	total_atoms	total_residues	HBA	HBD	polar	anion	cation	hydrophobic	others	total_heavy_atoms	r_sasa	r_polar_sasa	r_nonpolar_sasa	pocket_depth	mol_sa	polar_sa	nonpolar_sa	pmi_1	pmi_2	pmi_3	npr1	npr2	asphericity	eccentricity	spherocity_index	inertial_shape_factor	roughness_0.4	roughness_0.8	roughness_1.6	roughness_3.2	alpha	beta	gamma	delta	epsilon	zeta	e_z	chi	phase_angle	st_C3'_endo	st_C2'_endo	st_C3'_exo	st_C2'_exo	ssZp	Dp	splay	eta	eta'	theta'	eta''	theta''	v0	v1	v2	v3	v4	tm	P	pucker_C3'_endo	pucker_C2'_endo	pucker_C3'_exo	pucker_C2'_exo	suite	class
NAD-I	3.25	4.6875	1.9375	1.3125	5.1875	6.0	244.1875	11.1875	44.75	13.125	32.75	22.375	0.0	76.375	46.6875	236.0625	1326.848763125	1060.491258125	266.35750499999995	2.1774675	2625.02275	1751.6578125	873.3649375	121107.22318868774	245496.49483251004	295005.988959478	0.4159431249999999	0.827685625	0.1479687499999999	0.0	0.555170625	1e-05	5.883427113548564	22.735742876592703	-9.600903242234178	-3.0570875026606106	-44.778588125	62.4536	55.703249375	88.451024375	-129.805123125	-56.721598125	-40.551804375	-124.47442375	33.7001425	10.0	1.1875	0.0	0.0	3.947726875	4.21853	38.422125625	117.787624375	-65.62392875	-107.38029625	-96.44504375	-83.40120562499999	-0.6517793749999999	-17.651256875	28.250976875	-29.418853125	18.934610625	36.6494325	33.7001425	9.9375	1.1875	0.0	0.0625	0.563884375	1
NAD-II	5.416666666666667	3.583333333333333	5.416666666666667	2.0	10.833333333333334	5.583333333333333	471.5	16.416666666666668	65.66666666666667	21.83333333333333	54.5	32.833333333333336	0.0	109.5	71.08333333333333	355.4166666666667	1796.4101558333325	1583.3644049999991	213.04575083333327	2.4092783333333334	4617.9470833333335	2900.1445	1717.8025833333334	290476.3151775036	377350.80196023546	434277.01353132445	0.6856025	0.8630575	0.0411016666666666	0.0	0.8051158333333334	0.0	6.45759177091919	24.303209069739093	-10.080535264613468	-3.219714618144406	-37.99198166666667	16.539220833333335	37.063265	92.9257925	-131.93529333333336	-52.93660083333334	-28.67042583333333	-141.9092633333333	50.0620375	13.75	2.6666666666666665	0.0	0.0	3.6524675	3.949548333333334	53.694409166666674	84.44688583333334	-43.22372333333334	-58.901625	-51.0077475	-55.67755666666667	-1.401786666666667	-14.507176666666668	24.001181666666668	-25.480231666666665	16.932549166666668	38.11414833333333	50.0620375	13.0	2.5	0.1666666666666666	0.5	0.465715	1
Purine riboswitch	5.32	2.5	0.86	5.1	6.18	7.6	292.82	13.78	55.28	14.68	40.04	27.64	0.0	95.88	56.14	289.66	1243.3260188	960.4994797999998	282.8265389999999	2.5965344	3876.38826	2642.33744	1234.0508200000002	189167.7537361458	232389.15503916368	288926.2607407818	0.650305	0.7988176000000001	0.0485149999999999	0.0	0.7951894000000002	8.000000000000001e-07	5.978892247775088	22.58940319630322	-9.392877620296582	-3.0175511470809147	-29.59773	34.915493	52.57075220000001	95.2902666	-126.8060912	-47.87779	-23.47795	-131.4048042	58.57330819999999	10.88	2.74	0.0	0.0	3.3217928	3.8745142	47.8355632	79.8398576	-62.66492619999999	-78.17244840000001	-92.224656	-62.1735678	-3.5138372	-12.1756284	22.313915599999994	-24.886781400000004	17.920567000000002	38.667221600000005	58.57330819999999	9.9	2.1	0.4	0.44	0.443286	1
THF-I PK site	2.230769230769231	1.2307692307692308	3.8461538461538463	2.4615384615384617	6.076923076923077	3.692307692307693	211.3846153846154	9.76923076923077	39.07692307692308	13.615384615384617	31.692307692307693	19.53846153846154	0.0	64.53846153846153	42.92307692307692	211.3846153846154	1014.3239030769232	803.2676407692309	211.0562623076923	2.4504	4018.019	2753.322153846154	1264.6968461538463	109774.8902462084	172778.3586728744	205045.4409093231	0.5271292307692307	0.8490230769230771	0.09235	2.307692307692308e-06	0.6650176923076923	1e-05	5.65434815493018	21.50347723536678	-8.928570159255525	-2.8547222024527503	-39.95470846153846	41.49396307692307	21.77947846153846	91.6157823076923	-133.47465769230772	-79.54888538461539	-41.19419153846154	-132.93816	51.83720307692309	7.6923076923076925	1.8461538461538465	0.0	0.0	3.8108284615384616	3.995979230769232	50.64138076923077	80.02064461538461	-84.26063846153846	-65.0054123076923	-108.21426153846154	-33.90453076923077	-3.373101538461538	-12.914706153846153	23.437453846153844	-26.03168	18.500611538461538	38.69668	51.83720307692309	7.384615384615385	1.7692307692307692	0.0	0.2307692307692307	0.5742384615384616	1
THF-I 3WJ site	2.0	1.1	4.1	2.2	6.1	3.3	204.3	9.4	37.6	13.5	31.0	18.8	0.0	61.7	41.7	204.3	1029.2984499999998	824.967747	204.330703	2.38804	4019.3652	2754.3138	1265.0514	101058.78188727576	168823.75457750176	197185.72939257597	0.506022	0.8624449999999999	0.101566	3.0000000000000005e-06	0.640759	1e-05	5.643436816388578	21.520491529374848	-8.982289134030248	-2.864721806411908	-39.894833000000006	44.541834	16.08461	91.213972	-133.47922200000002	-75.536611	-41.399722	-134.25397200000003	53.9535	7.4	1.7	0.0	0.0	3.813644000000001	4.020567	51.1319	81.993944	-85.14119400000001	-74.216278	-110.62338900000002	-41.436723	-3.297638	-13.192194	23.807250000000003	-26.372806	18.668917	38.597972	53.9535	7.0	1.6	0.0	0.3	0.579417	1
THF-II site	4.0	3.0	2.0	3.5	6.0	6.5	264.0	12.5	50.0	14.5	37.0	25.0	0.0	85.5	52.0	264.0	1794.4484750000004	1431.5562	362.8922749999998	2.01681	2416.389	1650.2525	766.1365	171408.24962648586	225297.11179436184	275628.1278956637	0.621365	0.8168599999999999	0.05256	0.0	0.76444	0.0	6.045923849271828	23.76492232929722	-10.12267077505183	-3.178718337640848	-36.80224	106.71474	44.93526	85.41794999999999	-145.25769	-49.290065	-38.28205	-140.201605	27.42628	11.5	1.0	0.0	0.0	3.84981	4.39093	37.26776	118.891025	-129.53878	-107.66346	-88.273395	-106.316665	-0.02051	-19.585575	30.655125	-31.527885	19.883975	38.072435	27.42628	11.5	1.0	0.0	0.0	0.5202100000000001	1
TPP site	5.3478260869565215	5.0	7.173913043478261	2.869565217391304	12.521739130434783	7.869565217391305	438.0434782608696	20.39130434782609	81.1304347826087	27.30434782608696	65.56521739130434	40.78260869565217	0.0	135.1304347826087	88.1304347826087	438.0434782608696	1990.6447678260852	1585.3542217391298	405.29054608695634	2.2826752173913043	4568.460652173913	3041.665260869565	1526.795391304348	370781.2502138983	658002.7897397307	733780.0398997426	0.5381356521739129	0.8845617391304349	0.0890704347826086	0.0	0.6646247826086956	4.347826086956522e-07	6.448739176941145	24.81039353251708	-10.517899698015745	-3.419814850665287	-16.470852173913045	33.5176047826087	53.77692521739131	89.32071565217392	-125.02879826086956	-31.37147043478261	-21.59745739130435	-119.0888586956522	51.04449	17.434782608695652	2.0434782608695654	0.0	0.0	3.501406956521739	4.231330000000001	43.98432782608695	94.5223556521739	-46.28463913043479	-83.48367913043478	-76.98400782608697	-50.68811869565217	-0.0864308695652173	-18.55444652173913	29.038762608695656	-29.836955217391303	18.91009478260869	37.33868347826087	51.04449	15.91304347826087	1.2173913043478262	0.6956521739130435	1.0869565217391304	0.4158986956521739	1
PreQ1 Class I site	4.638888888888889	4.305555555555555	3.1944444444444446	3.2222222222222223	7.833333333333333	7.527777777777778	436.1388888888889	15.36111111111111	61.19444444444444	18.47222222222222	46.22222222222222	30.666666666666668	0.0	103.75	64.36111111111111	324.6666666666667	1905.7788333333328	1731.3771722222214	174.40166111111108	2.1535297222222223	1062.437111111111	724.9413888888889	337.4957222222222	233496.42259274423	290186.7121794289	362345.971166609	0.6476813888888889	0.8006247222222221	0.0477561111111111	0.0	0.7934249999999999	5.555555555555556e-07	6.415525803243466	24.495957140022732	-10.106329209480291	-3.195041251878689	-35.65537666666667	13.774252222222223	32.94441527777778	94.02637638888888	-127.42465000000004	-77.02926527777778	-44.18000305555555	-112.3649133333333	78.82541916666668	13.305555555555555	1.3888888888888888	0.0	0.0	3.9148038888888896	4.201258888888889	37.910925	105.02969722222224	-54.1943375	-96.7575427777778	-77.29778166666667	-61.69811111111111	1.5115944444444442	-18.456600555555557	27.46243138888889	-27.365222222222226	16.285788333333336	36.63991166666667	78.82541916666668	11.055555555555555	0.8333333333333334	0.5555555555555556	2.25	0.2988036111111112	1
PreQ1 Class II site	5.05	1.9	1.0	4.95	6.05	6.85	402.2	12.9	51.6	13.9	37.9	25.8	0.0	89.3	52.6	271.1	1558.9880654999993	1514.3661804999992	44.621885	1.9915195000000003	894.9322	686.54425	208.38795	170180.9560502243	214806.54370707824	280278.41818176967	0.6071614999999999	0.7671150000000001	0.0606545	0.0	0.76689	5.000000000000001e-07	6.399518095804825	24.471818299139244	-10.005510664852537	-3.0795208672435592	-50.69979249999999	-20.806398	34.753324500000005	102.745382	-52.89769249999999	-47.84066700000001	-23.950351500000004	-123.221151	116.978358	9.2	1.9	0.0	0.0	3.463147	3.745827	26.6065195	92.1726215	-101.33219899999996	-90.795877	-94.589058	-90.2881425	-1.0071300000000003	-11.920665500000002	19.4783535	-20.591154000000003	13.6517875	34.2807	116.978358	5.6	1.9	0.0	2.7	0.0887754999999999	1
PreQ1 Class III site	6.333333333333333	1.0	1.3333333333333333	4.666666666666667	7.666666666666667	5.666666666666667	425.3333333333333	13.333333333333334	53.333333333333336	14.666666666666666	42.0	26.666666666666668	0.0	92.0	54.66666666666666	283.3333333333333	1710.7108100000005	1660.3929299999998	50.31788000000001	1.9907366666666668	4922.705333333332	4006.8026666666665	915.9026666666668	193417.23705322805	250139.98225318664	289604.43594834954	0.67139	0.86401	0.0396966666666666	0.0	0.7927666666666666	0.0	6.458742845126248	24.89688522934115	-10.147313471566465	-3.142139696647409	-39.24688666666666	55.41190333333333	42.84560333333334	83.66685333333334	-141.71831666666665	-52.151833333333336	-35.53113333333334	-138.97802	26.126373333333333	12.333333333333334	1.0	0.0	0.0	3.5904566666666664	4.354083333333333	27.083773333333337	88.71227	-52.30531333333334	-120.15201666666668	-106.82490666666666	-100.60970666666668	0.2291233333333333	-20.668133333333333	32.115019999999994	-32.83718	20.55861	39.286993333333335	26.126373333333333	12.333333333333334	1.0	0.0	0.0	0.66888	1
SAM-I	5.962962962962963	4.407407407407407	4.962962962962963	3.074074074074074	10.925925925925926	7.481481481481482	395.77777777777777	18.40740740740741	73.77777777777777	23.40740740740741	58.81481481481482	36.888888888888886	0.0	124.14814814814817	78.74074074074075	395.77777777777777	2149.1243392592582	1716.167244444444	432.9570948148147	2.2173903703703703	4612.980037037037	3104.930333333333	1508.0497037037037	350855.4066252813	444116.87164228223	543484.8691758738	0.6452014814814816	0.8165211111111111	0.0462807407407407	0.0	0.7862866666666667	0.0	6.419721582990571	24.784096867656952	-10.517780657822357	-3.428391052296145	-52.89682592592594	80.21237148148147	50.85646703703704	86.19796296296296	-136.86683888888888	-60.18590666666668	-46.305800740740736	-147.8056188888889	29.111942222222225	17.22222222222222	0.925925925925926	0.0	0.0	3.974302592592593	4.388432222222222	35.9742	132.01148962962964	-71.37063851851852	-95.84672888888888	-115.06980925925926	-81.22045296296295	1.7362229629629633	-22.06588851851852	32.89789296296296	-32.74137851851852	19.582966666666668	37.69433925925926	29.111942222222225	17.037037037037038	0.8518518518518519	0.074074074074074	0.3333333333333333	0.5276759259259259	1
SAM-II	6.0	2.0	4.0	7.0	10.0	9.0	404.0	19.0	76.0	23.0	58.0	38.0	0.0	129.0	80.0	404.0	2077.12051	1613.3912599999996	463.7292499999998	2.39432	7012.598	4710.218	2302.38	326934.97951175	442011.6488513553	473969.6910766519	0.68978	0.93257	0.03405	0.0	0.78912	0.0	6.375882355204298	24.682292267856788	-10.356895815250606	-3.384882986061166	-54.85263	-7.95263	55.64737	87.1	-139.98947	-69.53684	-70.42105	-139.11579	61.66842	17.0	1.0	0.0	0.0	4.21947	4.33211	37.30579	96.42105	-97.06316	-92.31053	-118.25263	-88.98947	-0.22632	-21.35789	33.57895	-34.55263	21.93158	40.23158	61.66842	15.0	1.0	0.0	2.0	0.41211	1
SAH	2.0	4.0	6.0	1.0	8.0	5.0	282.0	13.0	52.0	19.0	42.0	26.0	0.0	85.0	58.0	282.0	1363.8048199999998	1011.7811499999996	352.0236699999999	2.416595	4966.338	3371.6705	1594.6675	148738.6139182715	352852.78945543413	378716.7731633686	0.392745	0.93171	0.1641449999999999	0.0	0.506885	1e-05	6.017865114533189	23.09628918098704	-9.755941020232772	-3.0721958743235374	-30.23846	36.584615	35.15	99.434615	-137.134615	-56.134615	2.192305	-146.634615	68.915385	9.0	4.0	0.0	0.0	3.50577	3.67692	61.07538	76.08077	-99.88077	-48.0	-71.165385	-57.03077	-5.88077	-7.48846	17.09231	-20.86154	16.92308	39.611540000000005	68.915385	8.5	3.5	0.0	0.5	0.4951899999999999	1
SAM-I_IV	5.5	6.0	4.5	3.0	10.0	9.0	404.5	19.0	76.0	23.5	58.0	38.0	0.0	128.5	80.5	404.5	2255.942249999999	1853.8020199999992	402.1402299999999	2.219105	4330.05	2980.899	1349.151	355490.3822800467	479398.4443931368	589148.7177428782	0.603415	0.813535	0.0597349999999999	0.0	0.74939	0.0	6.418900583726502	24.855916293595307	-10.528929667065492	-3.413878327451209	-50.51316	116.578945	56.044735	84.326315	-135.155265	-50.06579	-47.18421	-149.90789	22.09737	18.0	0.5	0.0	0.0	4.12579	4.44184	32.70921	138.05263	-46.273685	-116.528945	-107.5	-73.53421	1.03684	-22.807895	34.752635	-35.057895	21.452635	38.489475	22.09737	18.0	0.5	0.0	0.0	0.615	1
